タイムスタンプ,あなたのクラウドワークス ユーザID（ユーザーIDとは、クラウドワークスサイトの公開プロフィールページURL （https://crowdworks.jp/public/employers/xxxxxxxx）の末尾にある、クラウドワークスサイトの会員ごとに割り当てられた数字「xxxxxxxx」となります。）,あなたの年齢,あなたの性別,トレーナーとして受け入れることができる,話の聞き手として受け入れることができる,リアルだ,不気味だ,信頼できる,目が好みだ,顔が好みだ,髪が好みだ,声が好みだ,年齢が好みだ,服装が好みだ,好みだ,親しみやすい,トレーナーとして受け入れることができる,話の聞き手として受け入れることができる,リアルだ,不気味だ,信頼できる,目が好みだ,顔が好みだ,髪が好みだ,声が好みだ,年齢が好みだ,服装が好みだ,好みだ,親しみやすい
2021/01/18 3:00:04 午後 GMT+9,2227987,32,男性,3,3,3,3,3,2,2,2,2,3,3,3,3,2,2,2,5,3,1,1,1,2,2,2,1,2
2021/01/18 3:00:05 午後 GMT+9,2942272,50,男性,3,4,1,3,2,3,3,3,2,3,3,3,2,3,2,1,4,2,2,2,2,3,3,3,2,1
2021/01/18 3:00:15 午後 GMT+9,3718093,46,女性,5,5,3,1,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,2,3,3,3,3,3
2021/01/18 3:00:16 午後 GMT+9,1533311,45,女性,4,4,1,3,3,3,3,3,2,3,3,2,2,3,3,2,4,3,1,2,1,2,3,3,2,1
2021/01/18 3:00:19 午後 GMT+9,2642372,31,女性,3,3,3,4,3,1,1,1,4,3,3,3,2,3,3,5,4,3,1,1,2,3,3,3,1,2
2021/01/18 3:00:21 午後 GMT+9,178919,56,男性,3,4,1,3,2,3,3,3,2,3,3,2,2,3,3,2,4,3,2,2,3,3,3,3,2,2
2021/01/18 3:00:21 午後 GMT+9,3349397,37,男性,2,2,2,4,2,3,3,4,1,3,4,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3
2021/01/18 3:00:28 午後 GMT+9,3496838,39,女性,4,4,4,1,4,3,3,3,4,5,4,4,4,4,4,3,1,4,2,2,3,3,4,4,3,3
2021/01/18 3:00:35 午後 GMT+9,3288787,34,男性,3,2,3,4,3,2,2,3,2,3,3,3,2,3,3,3,4,3,2,3,3,2,3,3,3,3
2021/01/18 3:00:35 午後 GMT+9,149507,46,女性,4,4,2,2,4,4,4,4,2,4,4,4,4,2,2,2,4,3,2,2,2,2,3,3,2,2
2021/01/18 3:00:42 午後 GMT+9,3941813,40,女性,3,4,3,2,2,1,1,1,2,4,2,2,2,3,4,4,2,4,3,3,3,2,3,3,2,2
2021/01/18 3:00:45 午後 GMT+9,1529773,43,女性,4,4,3,3,4,3,3,4,2,3,3,3,4,3,3,2,3,3,2,2,2,2,3,4,2,2
2021/01/18 3:00:50 午後 GMT+9,842026,40,男性,2,1,3,4,2,2,2,3,1,3,3,2,2,2,1,3,3,2,3,2,4,1,3,3,2,2
2021/01/18 3:00:55 午後 GMT+9,799729,36,男性,3,4,1,2,3,2,3,4,3,3,3,3,4,4,4,4,3,3,1,1,3,2,3,3,2,2
2021/01/18 3:00:58 午後 GMT+9,1916814,40,女性,2,3,3,4,3,2,2,3,2,4,3,3,4,2,2,4,4,3,2,1,2,2,3,4,2,3
2021/01/18 3:00:58 午後 GMT+9,3518284,48,女性,2,2,1,4,2,1,1,2,1,3,3,1,2,2,2,2,4,3,2,2,2,1,3,3,2,2
2021/01/18 3:00:59 午後 GMT+9,4021634,47,女性,2,2,2,4,2,2,3,3,3,4,3,2,2,1,2,1,1,2,1,1,2,3,3,4,2,2
2021/01/18 3:00:59 午後 GMT+9,1907686,62,男性,4,4,2,3,4,3,3,3,4,3,3,3,4,2,1,1,4,2,2,2,1,2,1,1,1,2
2021/01/18 3:01:02 午後 GMT+9,769122,41,女性,2,1,3,4,2,1,1,3,1,4,4,2,2,2,3,4,4,3,2,1,2,3,4,3,2,2
2021/01/18 3:01:04 午後 GMT+9,1612472,65,男性,4,4,2,3,3,2,2,2,3,3,4,3,3,2,3,2,4,2,2,2,2,3,2,2,1,2
2021/01/18 3:01:07 午後 GMT+9,jwsjwq,31,男性,3,3,2,3,2,3,3,2,2,3,2,3,3,3,3,2,4,3,3,2,3,2,3,3,3,2
2021/01/18 3:01:08 午後 GMT+9,3153121,49,女性,3,4,2,4,3,2,2,2,2,3,3,2,3,2,2,2,4,2,1,1,2,2,3,3,2,2
2021/01/18 3:01:09 午後 GMT+9,2915031,54,男性,2,2,2,4,2,3,3,3,3,3,3,3,2,2,2,2,4,2,2,2,3,3,3,3,3,3
2021/01/18 3:01:09 午後 GMT+9,1824323,36,男性,4,5,2,1,4,3,3,2,3,3,4,3,4,1,2,1,5,2,1,1,2,2,2,2,1,2
2021/01/18 3:01:14 午後 GMT+9,3327831,35,男性,2,2,1,4,2,1,1,2,2,2,3,1,3,3,2,1,4,2,1,1,2,2,2,2,1,2
2021/01/18 3:01:14 午後 GMT+9,3560968,28,女性,2,1,3,1,2,4,2,3,1,4,2,4,4,4,3,5,3,4,2,2,3,2,4,3,2,2
2021/01/18 3:01:19 午後 GMT+9,1349084,60,男性,3,2,1,4,3,3,3,3,3,3,2,2,2,2,2,1,4,2,2,2,3,3,3,3,2,2
2021/01/18 3:01:32 午後 GMT+9,2180551,40,男性,3,4,4,3,3,3,4,4,3,3,4,3,3,3,3,2,4,3,2,2,2,3,3,3,2,3
2021/01/18 3:01:37 午後 GMT+9,1744560,30,女性,3,2,3,4,2,3,3,2,1,3,3,2,2,2,2,2,5,2,1,1,2,2,3,2,2,2
2021/01/18 3:01:44 午後 GMT+9,3592021,31,女性,1,1,2,5,2,1,1,1,1,2,2,1,1,1,1,2,5,1,1,1,1,1,1,1,1,2
2021/01/18 3:01:46 午後 GMT+9,27maiii05,22,女性,2,2,1,4,2,2,3,3,2,2,3,2,2,2,2,3,4,2,1,1,4,2,2,3,2,2
2021/01/18 3:01:47 午後 GMT+9,3572434,29,女性,2,2,5,4,2,2,2,2,2,2,2,2,2,1,1,5,5,1,1,1,1,1,1,1,1,1
2021/01/18 3:01:48 午後 GMT+9,3038762,31,男性,4,4,3,2,4,3,3,2,2,3,3,3,3,3,3,3,4,3,2,3,3,2,3,2,2,2
2021/01/18 3:02:04 午後 GMT+9,2560392,49,女性,4,3,4,2,4,3,4,3,3,3,3,3,3,2,2,3,4,2,2,1,2,3,3,3,2,2
2021/01/18 3:02:10 午後 GMT+9,1445649,35,男性,2,2,3,4,3,3,2,2,2,3,3,2,2,1,2,3,5,2,2,1,2,2,3,3,1,1
2021/01/18 3:02:12 午後 GMT+9,2677151,40,男性,3,3,2,3,3,2,2,2,1,2,1,1,2,2,2,3,3,3,2,1,2,2,2,2,1,2
2021/01/18 3:02:27 午後 GMT+9,4021758,42,男性,2,2,2,3,3,1,1,2,2,2,2,2,1,2,2,2,3,3,2,2,2,2,2,2,1,2
2021/01/18 3:02:29 午後 GMT+9,3844010,40,女性,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,3,2,2,1,1,1,2,2,2,1
2021/01/18 3:02:31 午後 GMT+9,1673150,28,男性,4,4,4,4,2,3,2,3,2,4,4,2,2,4,4,4,3,3,2,3,4,2,4,4,3,3
2021/01/18 3:02:31 午後 GMT+9,3518217,21,女性,5,3,3,3,3,3,3,3,4,4,2,4,4,5,3,4,3,3,3,3,3,4,3,3,4,4
2021/01/18 3:02:35 午後 GMT+9,3010514,39,女性,2,2,2,3,2,2,4,4,2,3,5,3,4,3,2,3,2,2,3,3,3,2,3,3,3,2
2021/01/18 3:02:41 午後 GMT+9,1484104,29,男性,4,4,2,4,3,3,3,3,3,3,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3
2021/01/18 3:02:42 午後 GMT+9,69667,33,男性,1,1,1,5,1,1,1,3,1,4,4,1,1,1,1,1,5,1,1,1,4,1,1,1,1,1
2021/01/18 3:03:07 午後 GMT+9,2525366,59,男性,4,4,3,2,3,4,3,3,2,3,3,3,4,3,4,3,4,3,2,2,3,2,3,2,2,3
2021/01/18 3:03:11 午後 GMT+9,2002335,27,男性,2,2,2,5,3,3,3,3,2,2,2,2,2,2,2,2,5,3,2,2,2,2,2,3,2,2
2021/01/18 3:03:12 午後 GMT+9,2395539,53,男性,3,4,2,3,4,3,3,3,3,3,2,3,4,3,3,3,3,3,2,2,2,3,3,3,2,3
2021/01/18 3:03:12 午後 GMT+9,4008717,33,女性,3,3,4,2,3,2,2,2,2,2,2,2,3,3,2,3,3,3,1,1,1,1,1,1,1,3
2021/01/18 3:03:14 午後 GMT+9,898248,27,男性,3,4,2,4,3,2,1,1,2,2,2,2,1,2,3,1,4,3,1,1,1,2,2,3,1,1
2021/01/18 3:03:21 午後 GMT+9,4069826,33,男性,4,4,3,4,3,3,3,3,2,3,4,3,3,2,3,2,4,3,1,1,2,2,3,3,1,2
2021/01/18 3:03:34 午後 GMT+9,2382066,43,女性,3,3,4,3,3,2,2,2,2,2,2,2,3,3,3,4,2,3,2,2,2,2,2,2,2,3
2021/01/18 3:03:34 午後 GMT+9,2287582,43,男性,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,2,2,3,3,3,3,3,3
2021/01/18 3:03:35 午後 GMT+9,4014495,29,女性,4,4,2,2,4,3,3,4,3,3,3,3,4,2,2,2,4,2,2,2,2,3,3,2,2,3
2021/01/18 3:03:36 午後 GMT+9,3896385,36,女性,5,5,4,1,5,5,5,5,5,5,5,5,5,4,5,3,1,4,4,4,4,4,4,4,4,3
2021/01/18 3:03:38 午後 GMT+9,2360666,38,女性,4,4,2,3,3,4,4,4,3,4,4,3,3,3,4,2,4,3,1,2,2,3,3,2,2,2
2021/01/18 3:03:42 午後 GMT+9,4094103,27,女性,4,4,2,3,3,3,3,4,3,3,2,4,4,2,2,2,4,3,2,1,1,3,3,3,2,2
2021/01/18 3:03:47 午後 GMT+9,4051115,33,女性,4,4,3,2,4,4,4,2,3,3,3,3,4,2,2,2,4,2,1,2,2,2,2,3,2,2
2021/01/18 3:03:47 午後 GMT+9,4073943,55,男性,3,2,3,2,3,2,2,3,3,4,4,3,4,3,2,2,2,2,2,2,2,2,3,3,2,2
2021/01/18 3:03:51 午後 GMT+9,1833470,37,女性,5,4,3,1,4,4,4,3,3,3,4,4,4,2,2,1,4,2,1,1,2,3,3,2,2,1
2021/01/18 3:03:52 午後 GMT+9,2139132,37,女性,3,3,3,2,4,3,3,4,3,3,3,3,4,2,2,4,4,3,2,2,2,3,3,3,2,2
2021/01/18 3:03:52 午後 GMT+9,1388752,43,女性,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,3,4,2,1,1,1,1,3,2,1,2
2021/01/18 3:03:57 午後 GMT+9,1119495,35,女性,4,3,3,2,4,4,4,4,3,3,3,4,4,1,2,3,4,2,2,1,2,3,3,2,1,2
2021/01/18 3:03:57 午後 GMT+9,2258721,43,女性,4,5,3,1,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,2,4,4,2,2
2021/01/18 3:03:59 午後 GMT+9,1809376,50,女性,4,4,4,1,3,3,3,3,2,2,4,3,3,4,4,4,1,3,2,2,4,2,3,3,3,4
2021/01/18 3:04:02 午後 GMT+9,3933094,41,女性,3,3,4,4,3,3,3,3,3,3,4,3,4,3,3,3,5,3,2,2,4,4,3,2,3,3
2021/01/18 3:04:07 午後 GMT+9,2212281,20,女性,4,3,3,3,3,4,3,4,3,4,3,3,3,4,2,4,3,3,2,4,3,4,3,3,3,2
2021/01/18 3:04:09 午後 GMT+9,1657633,44,女性,2,3,3,3,2,2,3,3,2,3,3,2,2,3,3,4,3,2,1,2,2,2,3,4,2,2
2021/01/18 3:04:17 午後 GMT+9,1103016,46,男性,4,4,4,1,3,3,3,3,2,3,3,3,4,3,3,4,2,3,3,2,3,2,2,3,2,2
2021/01/18 3:04:19 午後 GMT+9,780599,41,男性,2,2,2,4,2,3,3,3,2,3,3,2,2,2,2,4,4,2,3,3,3,3,3,3,2,2
2021/01/18 3:04:20 午後 GMT+9,3815391,23,女性,3,4,3,4,2,1,2,1,1,3,3,2,2,1,2,3,5,1,1,1,1,1,1,1,1,1
2021/01/18 3:04:20 午後 GMT+9,1317935,47,男性,5,4,2,3,3,2,2,4,2,4,4,3,5,2,2,1,5,3,1,2,3,2,3,2,2,2
2021/01/18 3:04:23 午後 GMT+9,4006340,22,女性,4,2,2,4,2,1,1,4,1,4,3,3,2,4,4,3,3,3,2,2,4,3,5,4,3,4
2021/01/18 3:04:26 午後 GMT+9,776557,28,男性,3,3,2,4,3,2,2,2,1,2,2,2,2,3,3,4,4,3,2,2,3,2,3,3,2,2
2021/01/18 3:04:26 午後 GMT+9,3332994,35,男性,4,4,4,2,4,3,2,4,3,3,3,3,5,4,3,4,2,3,2,2,2,3,2,2,3,3
2021/01/18 3:04:29 午後 GMT+9,769818,33,女性,5,5,5,5,4,2,5,5,5,5,5,4,5,5,5,3,1,4,1,1,1,4,3,1,2,2
2021/01/18 3:04:35 午後 GMT+9,2151311,50,女性,3,4,2,3,3,4,4,4,1,4,4,3,3,2,3,2,4,3,1,1,3,2,3,3,2,2
2021/01/18 3:04:36 午後 GMT+9,3854395,33,女性,2,2,3,2,2,1,2,3,3,3,3,3,2,3,2,3,4,3,2,2,1,3,3,2,2,2
2021/01/18 3:04:37 午後 GMT+9,3947402,32,女性,4,4,3,3,3,2,2,2,1,3,3,2,3,4,4,3,2,3,3,2,2,3,2,2,2,3
2021/01/18 3:04:49 午後 GMT+9,2795901,36,女性,3,4,2,2,4,2,3,4,2,3,4,3,3,3,3,2,3,4,2,3,3,2,3,4,2,3
2021/01/18 3:04:50 午後 GMT+9,354006,32,女性,4,4,4,3,4,3,4,3,3,3,3,3,4,3,3,4,4,3,2,3,3,3,3,3,3,2
2021/01/18 3:04:58 午後 GMT+9,669855,47,男性,2,2,2,4,2,3,3,3,3,3,3,3,2,1,1,3,4,2,2,1,1,3,3,2,2,2
2021/01/18 3:05:02 午後 GMT+9,839571,39,女性,3,3,3,2,3,2,2,2,2,1,2,2,2,3,3,2,1,3,2,2,2,2,2,2,1,2
2021/01/18 3:05:02 午後 GMT+9,mamemoyasi,30,男性,2,2,3,4,2,2,2,2,3,2,2,2,3,1,1,2,5,1,1,1,1,2,2,1,1,2
2021/01/18 3:05:10 午後 GMT+9,2211937,42,女性,3,2,1,1,3,4,4,5,1,4,4,3,3,3,4,3,4,3,1,1,3,3,4,3,2,1
2021/01/18 3:05:16 午後 GMT+9,4059666,36,女性,5,5,5,4,5,5,5,5,2,5,5,4,5,2,2,5,5,2,1,1,3,2,4,3,2,1
2021/01/18 3:05:16 午後 GMT+9,3579473,32,女性,3,2,1,4,4,3,3,4,2,3,4,2,2,4,3,3,2,4,1,1,1,2,2,3,2,2
2021/01/18 3:05:22 午後 GMT+9,1052964,37,女性,5,5,5,3,4,4,4,5,4,4,4,4,5,4,4,4,5,4,2,2,4,2,3,3,3,3
2021/01/18 3:05:26 午後 GMT+9,3966551,37,女性,5,4,4,4,3,4,4,5,2,1,4,3,3,2,2,2,2,3,1,1,1,1,1,1,1,1
2021/01/18 3:05:40 午後 GMT+9,2600289,26,女性,4,4,3,3,4,2,3,5,4,3,3,3,4,3,2,5,4,3,2,2,1,2,2,2,1,2
2021/01/18 3:05:43 午後 GMT+9,3755000,27,女性,4,3,4,2,3,2,4,3,1,5,4,2,3,2,5,4,3,5,5,4,3,4,2,4,3,4
2021/01/18 3:05:59 午後 GMT+9,2125292,55,女性,4,4,4,1,4,4,4,4,4,4,4,4,4,3,3,4,1,3,3,3,3,3,3,3,3,3
2021/01/18 3:06:01 午後 GMT+9,2369590,50,男性,3,3,3,2,3,3,3,3,2,3,3,3,3,2,2,2,4,2,2,2,2,2,2,2,2,2
2021/01/18 3:06:02 午後 GMT+9,3964429,32,女性,1,1,3,3,2,4,2,2,2,2,2,2,3,1,1,2,4,2,3,2,2,2,2,2,2,3
2021/01/18 3:06:03 午後 GMT+9,733149,48,男性,3,3,1,4,3,2,1,3,1,3,3,1,2,3,3,2,4,3,1,1,2,1,3,2,1,2
2021/01/18 3:06:06 午後 GMT+9,kayo33333,33,女性,3,2,1,4,1,1,3,3,1,3,3,1,2,1,1,3,4,1,1,1,1,1,1,1,1,1
